username,job_titles,skills
 -mananjain,"[cxo - revenue & corp. dev.,director,digital growth & revenue,cxo - digital growth & revenue,a.v.p.- growth,head of analytics,senior data analyst,project analyst,intern,intern,intern]","[business management,business process improvement,operations management,strategic planning,project planning,analytical skills,business planning,data visualization,content strategy,marketing strategy,google analytics,tableau,r,vba,pl/sql,visual c#,visual studio,ssrs,powerpoint,visio,autocad,matlab,microsoft sql server,business model development,mockups,marketing research,google sheets,parsley,facebook api,youtube api,a/b testing,excel models,influencer marketing,c,c++,sql,html,mysql,teamwork,leadership,management,data analysis,microsoft excel,team management,microsoft office,business analysis,business strategy,project management,business development]"
 -nidhi-tiwari,"[data analyst,freelance writer,analytics intern]","[graphic design,machine learning,data visualization,writing,tableau,adobe photoshop,adobe xd,alumni relations,predictive modeling,corporate affairs,data analytics,power bi,microsoft power query,dax,natural language processing (nlp),artificial neural networks,sql,microsoft excel,microsoft office,microsoft powerpoint,python (programming language)]"
 -nitin-,"[senior manager,engineering leader,founder,senior project lead,associate software engineer,senior technical program manager]","[technical project management,engineering management,technical program management,web services,information security,amazon web services (aws),selenium,c (programming language),c++,sql,java,python (programming language)]"
 -sagar-kumar,"[business development intern,subject matter expert,treasurer,intern process excellence,summer intern]","[engineering,industrial engineering,volunteering,solidworks,management,decision-making,problem solving,teamwork,leadership,management,microsoft word,microsoft excel,public speaking,microsoft office,microsoft powerpoint]"
 -sahil-garg,"[deputy manager - product strategy and planning (psp) | lmd buses,marketing intern,category manager (product & marketing e-comm),online lead - qr code business,management trainee - digital marketing (e-comm),intern - digital marketing (e-comm)]","[microsoft office,microsoft excel,microsoft powerpoint,microsoft word,market research,strategic planning,competitive analysis,marketing,mechanical engineering]"
 -sudhanshusingh-,"[digital marketing intern,business analyst - monetisation,system engineer,assistant manager]","[google analytics,enterprise resource planning (erp),digital marketing,c (programming language),event management,intercultural communication,java,python,data analysis,microsoft excel,team management,microsoft powerpoint]"
 -yashas-v-,"[sales executive,sales analyst]","[sales management,conferences,sales process,customer relationship management (crm),requirements analysis,data analysis,microsoft excel,project management]"
01rajatmalhotra,"[back-end developer,system software engineer]","[node.js,mongodb,amazon web services (aws),object-oriented programming (oop),microservices,redis,amazon sqs,amazon simple notification service (sns),aws lambda,amazon s3,kms,back-end web development,elastic stack (elk)]"
0203rajatgoel,"[market risk analyst,head of nucleus, phoenix (eee,ece,eie) association,manager, department of sponsorship and marketing,business finance,product,intern,summer intern]","[financial analysis,financial accounting,risk management,derivatives,portfolio management,valuation,sponsorship,event management,business analytics,transact-sql (t-sql),product management,product strategy,growth hacking,sql,marketing,data analysis,microsoft excel,business analysis,microsoft powerpoint]"
029vaibhav,"[software development engineer i,jr mobile developer,sde 3,sde 3,senior software engineer]","[spring boot,android development,mongodb,drools,android,software development,redis,aerospike,golang,java,mysql]"
07rohitkumar,"[engineer 2,software engineering trainee,sde ii,summer intern,software engineer]","[c++,github,javascript,machine learning,shell scripting,python,linux,html,cascading style sheets (css),bash,java,qt creator,gimp,acrylic painting,gnu octave,ansible,c (programming language),mysql,jira,android,git,data structures,computer science,angular,typescript,algorithms,jenkins,front-end development]"
09saurabh09,"[student,lead backend engineer,sde iv,engineering lead,intern,software engineer,software developer,co-founder]","[node.js,socket.io,jquery,angularjs,openlayers,django,mongodb,bootstrap,sails,redis,web development,web applications,css,algorithms,linux,powerpoint,sql,java,mysql,python,javascript,data structures,microsoft excel]"
101093,"[systems engineer,software engineer,senior software engineer,senior software engineer]","[spring boot,microservices,spring framework,restful webservices,hibernate,maven,github,jira,jenkins,oracle database,oracle sql developer,confluence,openam,git,splunk,appdynamics,pivotal cloud foundry (pcf),java,public speaking,microsoft office]"
110495,"[software engineer i a,r&d internship,sr tech associate,senior software engineer]","[cascading style sheets (css),bootstrap,html,javascript,python (programming language)]"
121y,"[software engineer intern,head of public relations,public relations executive,sde1]","[react native,branding & identity,keras,tensorflow,front-end development,algorithms,git,software development,react.js,c++,sql,javascript,leadership,python (programming language)]"
12shivansh97,"[geographic information systems engineer,freelance,data science intern,data analyst]","[machine learning,r (programming language),microsoft power bi,autocad,english,data mining,machine learning algorithms,supervised learning,unsupervised learning,anaconda,python,r programming,data analysis,python (programming language)]"
1308ashish,"[engineering manager,principal engineer,avp engineering,engineering manager,technical lead,software engineer,senior software engineer,senior software engineer]","[webkit,browsers,c++,data structures]"
16966448,"[software engineer - 3,member of technical staff,sde-2]","[core java,programming,machine learning,representational state transfer (rest),linux,spring boot,c,c++,sql,java,mysql,python,data structures]"
19sameerjain,"[business intelligence lead,operations manager,business analyst,analyst]","[manufacturing,product development,warehouse operations,computer-aided design (cad),manufacturing operations management,production planning,engineering,strategic planning,5s,kaizen,fifo,poka yoke,six sigma,kanban,operations management,jit production,materials management,management,team management,business strategy]"
1abhijitghosh,"[product marketing manager,assistant brand manager,sales and marketing intern,brand manager,senior brand marketing manager]","[marketing strategy,trade marketing,market analysis,teamwork,management,market research]"
1abhishekpal,"[research internship,senior data scientist,data scientist,software engineer]","[machine learning,deep learning,algorithms,computer vision,pytorch,tensorflow,keras,elasticsearch,pandas,linux,arduino,matlab,verilog,latex,dialogflow,rasa platform,ibm watson,c (programming language),gnu octave,cadence virtuoso,opencv,probability,sklearn,neural networks,natural language processing (nlp),web crawling,selenium webdriver,c,c++,sql,python,data structures,python (programming language)]"
1ankursethi,"[vice president - ecommerce,co-founder & ceo,director - business,business unit head,sales engineer,vice president - business,director - new business initiatives,co-founder & ceo,consultant]","[e-commerce,p&l management,product management,direct sales,sales operations,sales management,business planning,marketing strategy,human resources,brand management,brand awareness,entrepreneurship,digital marketing,product marketing,strategy,food & beverage,food technology,retail,customer acquisition,customer retention,competitive analysis,business management,fast-moving consumer goods (fmcg),team building,cross-functional team leadership,talent acquisition,business operations,daily operations,global business management,retail category management,consumer internet,category management,new business opportunities,business growth strategies,growth strategies,managing business growth,growth hacking,profit & loss management,consumer goods,customer experience,problem solving,start-ups,program management,leadership,management,team leadership,team management,business analysis,business strategy,business development]"
1parthbhatia,"[research and development intern,vocational trainee,civic & social service intern,project management sustainability & circular economy,graduate engineering trainee (get),project intern]","[research and development (r&d),volunteering,team leadership,event management,uv/vis spectroscopy,microsoft office,c++,c (programming language),resiliency,leadership,negotiation,time management,multi tasking,oral communication,written communication]"
1shuchisingh,"[associate director-legal,senior legal counsel,assistant manager legal,independent legal consultant,associate]","[legal research,litigation,legal assistance,legal writing,competition law,international law,due diligence,nonprofits,mediation,arbitration,corporate law,banking,project finance,legal advice,client servicing,legal drafting,contract negotiation,contract management,refinance,risk management,legal compliance,commercial contracts,microsoft office]"
1tarunsachdeva,"[vice president - user retention,director - strategic projects, ceo's office,senior consultant,summer associate,project engineer,senior associate,process engineer,business head - emerging categories]","[product,growth,management consulting,digital strategy,change management,innovation management,corporate development,consulting,user experience (ux),business strategy,project management]"
22anirudhgupta,"[placement coordinator,software engineer intern,software development engineer]","[php,go (programming language),android development,big data,data warehousing,algorithms,hadoop,hbase,oozie,core java,jquery,cascading style sheets (css),hive,apache pig,sqoop,deep learning,redis,powerpoint,programming,java,mysql,microsoft word,microsoft office]"
23130828,"[performance sde - manager,sdet manager,sdet lead,senior software quality analyst,software testing automation engineer]","[manual testing,test automation,autoit,testng,core java,selenium webdriver,oracle sql 10 g,functional testing,performance testing,stress testing,user acceptance testing,regression testing,agile testing,requirements analysis,test cases,summary reports,sdlc,stlc,quality assurance,test data,jira,bug tracking,defect life cycle,defect tracking,defect logging,defect identification,c#,asp.net,testing,system testing,software quality assurance,integration testing,automation,c,c++,sql,html,java,mysql,teamwork,microsoft office]"
296shashi,"[senior software developer,software engineer,senior software engineer,senior software engineer,summer training,software engineer]","[microsoft office,project management,c,c++,java,web services,sql,html,javascript,mysql,microsoft excel,programming,php,management,microsoft word,powerpoint,web development,jquery,openstack,heat template,wireshark,nfv]"
29prashanto,"[devops engineer,subject matter expert,devops cloud intern,data science intern]","[amazon web services (aws),kubernetes,openstack,configuration management,virtualization,virtual private network (vpn),windows,linux,jenkins,docker,git,ansible,github,hadoop,mapreduce,prometheus.io,grafana,terraform,elasticsearch,kibana,elastic stack (elk),amazon eks,openshift,devops,ethical hacking,amazon vpc,private clouds,hypervisor,networking,yaml,logstash,red hat certified system administrator,infrastructure as code (iac),identity & access management (iam),eks,apache kafka,red hat enterprise linux (rhel),bash,linux system administration,helm charts,redis,python,management,python (programming language)]"
4daxis,"[co-founder,cheerleader]","[web 2.0,start-ups,online marketing,product management,online advertising,web development,web technologies,mobile applications,web analytics,analytics,seo,social media marketing,crm,wordpress,e-commerce,google analytics,sem,jquery,drupal,html,mysql,leadership,management,business strategy,business development]"
4jith,"[ui/ux designer,ui/ux designer,ui designer,sr. product designer]","[branding & identity,user interface design,typography,magazine layout design,adobe creative suite,photoshop,illustrator,indesign,after effects,premiere,logo design,corporate identity,illustration,adobe photoshop,adobe illustrator,graphic design,branding,design,interaction design,user experience,wireframing,motion design,user interaction,user experience design,usability testing,sketch app,visual design,product design,motion graphics,powerpoint]"
4rshdeep,"[ml engineer,applied data scientist,research fellow,ml engineer ii]","[machine learning,data science,git,web development,linux,django,deep learning,tensorflow,vhdl,latex,matlab,software development,product development,natural language processing (nlp),c,c++,java,python,javascript,data structures]"
5500163ankulpaswan,"[computer programmer,operator]","[social media,machine learning,artificial intelligence (ai),machine learling,sales,leadership,management,customer service,project management]"
5prashantv,"[chief revenue officer (marketing + growth + category),senior vice president and head - marketing, growth and new initiatives,vice president and head - marketing and growth,head - growth (pivot project),director - brand marketing, user acquisition and consumer insights,senior director - brand strategy (south asia region),director - brand strategy (south asia region),brand strategy manager,manager - corporate & investment banking,sales and distribution,presales solutions consultant]","[strategy,marketing strategy,brand management,integrated marketing,advertising,competitive analysis,fmcg,analytics,operations management,product management,business planning,strategic partnerships,customer insight,marketing research,branding initiatives,management consulting,new business development,mobile applications,business alliances,fast-moving consumer goods (fmcg),creativity,leadership,market research,business strategy,business development]"
5ubbu,"[co-founder, cto,software development manager,researcher,senior r&d engineer,summer research intern,summer research intern,senior director,senior software engineer,co-founder]","[device drivers,linux,linux kernel,kernel programming,php,css,omnet++,perl,optical communications,sdh,sonet,otn,visual basic,operating systems,distributed systems,software development,embedded software,algorithms,c,c++,html,java,mysql,python,javascript]"
8349984332,"[programmer analyst,programmer analyst trainee,intern,associate]","[amazon web services (aws),python (programming language),google cloud platform (gcp),terraform,aws cloudformation,microsoft azure]"
8nkit,"[google dsc lead,software developer intern,student mentor,android developer,associate software engineer,associate software engineer]","[android development,web development,database management system (dbms),aws cloudformation,cyberlaw,version control,linux,english,c (programming language),github,android,programming,firebase,user experience (ux),mobile devices,mobile applications,user interface design,design,databases,computer science,android studio,cascading style sheets (css),c++,html,java,mysql,python]"
8saurabh,"[regional head - north (workspaces),business head - e-commerce logistics (north region),senior consultant,manager - new product development,manager - consulting services,head of supply chain management,business unit head - kid's fashion, toys & baby care,category head - tools & hardware,assistant system engineer]","[p&l management,go-to-market strategy,vendor management,strategy,e-commerce,management consulting,competitive analysis,product development,analytics,operations management,merchandising,cost management,sales management,cross-functional team leadership,client relations,category management,leadership,market research,team management,business analysis,business strategy,project management,business development]"
919alokverma,"[sap trainee,data analyst,data analyst (intern),data analyst]","[data visualization,statistical data analysis,business intelligence (bi),human resources (hr),machine learning,tableau,r (programming language),microsoft power bi,django,django rest framework,kpi dashboards,operative dashboard,data analytics,dashboard,aiml,hr operations,big data analytics,google data studio,reporting & analysis,sql,mysql,data analysis,microsoft word,microsoft excel,microsoft powerpoint,python (programming language)]"
93purva,"[relationship manager,internship trainee,corporate associate,key account manager,summer intern]","[economics,microsoft office,microsoft excel,powerpoint,strategic planning,business development,market research,business strategy,microsoft word,marketing strategy,public relations,crm,relationship management,business analysis,project management,teamwork]"
99kapil-verma,"[engineer - technology (ml), xlabs,technology intern,data scientist, ota product ,senior business analyst, ota performance,business analyst, ota sales,senior software engineer]","[machine learning,data analysis,python,project management,research,programming,sketching,civil engineering,data mining,data collection,artificial intelligence (ai),software development,data science,deep learning,microsoft word,microsoft office,powerpoint,c,html,matlab,adobe illustrator,autocad,cascading style sheets (css),adobe photoshop,microsoft excel,sql,rest api,microsoft azure,databases,h2o.ai,flask,recurrent neural networks (rnn),javascript,angularjs,bootstrap,python (programming language),leadership,training,management,teamwork,digital art,long short-term memory (lstm),natural language processing (nlp),scikit-learn,predictive analytics,c (programming language),containerization,docker products,docker,kubernetes]"
a-b-dinesh-kumar-84aa231b,"[assistant manager supply chain management,procurement manager,assistant procurement manager]","[strategic sourcing,procurement,global sourcing,purchase orders,production part approval process (ppap),contract negotiation,casting,negotiation,request for quotation (rfq),bearings,product costing,rfq,p2p]"
a-c-thakuri-003709206,"[finance executive,internship trainee,participant,participant,stock trader,process developer,internshala student partner,internship trainee]","[anatical,decision -making & problem solving,working experience,computer-aided design (cad),ansys,catia,autocad,fundraising,learning,overhaul,working model,research,microsoft office]"
a-c-thilak-raj-62660792,"[(sr. engineer) environmental health and safety,intern trainee,summer trainee,summer intern]","[strategic planning,materials,microsoft office,microsoft word,teamwork,powerpoint,english,manufacturing,windows,new business development,customer service,customer relationship,safety management,health safety,quality assurance,industrial safety,environment, health, and safety (ehs)]"
a-c-varun-sekharan-90488932,"[program manager,team lead - editorial,accounts operations researcher,group program manager,associate program director]","[program management,social media marketing,project planning,competitive analysis,process improvement,digital marketing,documentation,vendor management,lead generation,risk management,reporting,e-commerce,customer relationship management (crm),operations management,process management,scrum,automation,knowledge sharing,resource allocation,strategy,stakeholder management,leadership,management,communication,market research,team management,customer service,business analysis,project management,business development]"
a-himanshu-shekhar-padhan-5b12291a4,"[team leader,logistics coordinator]","[supply chain management,problem solving,leadership,team leadership]"
a-jagadishwara-rao-4a4888218,"[regional sales manager,area business manager,area sales manager,sr. area sales manager]","[customer experience,driving results,negotiation,people management,leadership development,training,teamwork,leadership,management,communication,customer service,business development]"
a-navaneetha-krishna-5977aaa7,"[sde-iii,sde-ii,sde,intern,software engineer]","[php,programming,c,c++,sql,html,java,mysql,microsoft excel]"
a-raghav,"[legal counsel,associate manager - legal,analyst,legal counsel,volunteer,intern,intern,intern,intern,intern,intern,intern,associate]","[intellectual property,legal writing,social media,legal research,corporate law,powerpoint,research,teamwork,leadership,microsoft word,microsoft excel,public speaking,customer service,microsoft office]"
a-s-word-group-9589a0225,"[channel partner,channel partner,stock market ,agency manager]","[hiring,digital marketing,engineering,strategy,analytical skills,training,english,affiliate marketing,banking,consulting,tax advisory,tax,qr,administration,recruiting,software development,design,product development,business administration,banking solutions,ad serving,business,web development,outsourcing,marketing agency,software,goods and services tax (gst),research,marketing,management,communication,project management]"
a-sai-sree-harsha-924079153,"[artificial intelligence intern,business data analyst]","[english,engineering,machine learning,problem solving,communication,analytical skills]"
a-star0,"[founder & mentor,software engineer intern,technical program manager,software engineer]","[competitive programming,discrete mathematics,mathematics,algorithms,engineering mathematics,web development,object-oriented programming (oop),c (programming language),node.js,nestjs,mongodb,html5,cascading style sheets (css),git,react.js,github,linux,back-end web development,database management system (dbms),express.js,spring framework,spring boot,hibernate,redis,c++,java,mysql,research,javascript,leadership,data structures,public speaking,python (programming language)]"
a-sudhakar-reddy-50a275a9,"[assistant manager qa,senior qa officer,qa/qc manager,deputy manager quality assurance,quality  head,quality control microbiologist,microbiologist]","[quality assurance,quality system,standard operating procedure (sop),hazard analysis and critical control points (haccp),quality control,quality auditing,quality management,gmp,research and development (r&d),water analysis,air monitoring,raw material anylasis,iso 22000,handling customer complaimts,food microbiology,documentation,environmental monitoring,equipment and  personal monitoring,food safety,fast-moving consumer goods (fmcg),food processing,food quality,raw materials,product development,hygiene,iso standards,microbiology,food industry,leadership,management,microsoft office]"
a-tiwari,"[analyst,national accounts lead,senior category manager,category manager,consultant,summer intern]","[powerpoint,primary research,secondary research,market analysis,matlab,supply chain management,engaging people,people management,business valuation,c,c++,research,teamwork,microsoft word,microsoft excel,microsoft office,business analysis,business strategy,microsoft powerpoint]"
a-v-krishna-chaitanya-18994b16,"[manager - account relationship,deputy manager - account relationship,education coach,academic relationship manager,senior trainer,trainer,associate director - academic excellence,teacher educator]","[teacher training,curriculum design,teaching,educational technology,subject matter experts,content development,content writing,adobe elearning suite,training,learning management,blended learning,technical writing,screening,instructional design,employee training,e-learning,educational leadership,team building,curriculum development,training needs analysis,training & development,e-learning modules,customer service management,customer relationship management (crm),training analysis,e-learning implementation,organizational learning,instructor-led training,process improvement,research,leadership,management,team management,customer service]"
a14,"[recruiter,tech talent acquisition]","[technical recruiting,management information systems (mis),recruiting,head hunting,social media,search engine optimization (seo),search engine marketing (sem),digital marketing,user interface design,user experience (ux),content management systems (cms),google analytics,team management,microsoft office]"
a18harshc,"[management intern,management intern,assistant manager (financial services),batch representative,strategy manager,team lead,summer intern]","[customer insight,consumer insights,business insights,consumer research,consumer insight,teamwork,marketing,leadership,management,market research,public speaking,team management,customer service,project management]"
aa3pankaj,"[contributor,applications developer 2,assistant system engineer,senior software engineer]","[algorithms,agile methodologies,web services,computer networking,object-oriented programming (oop),product lifecycle management,flask,mongodb,react.js,dialogflow,amazon web services (aws),spring boot,oracle,cascading style sheets (css),matlab,linux,git,maven,servlets,jquery,rest api,firebase,apache airflow,json,pyside,datatables,ruby on rails,apache kafka,qt,ptc windchill plm,java swing,websocket,back-end web development,microservices,thymeleaf,chatbot development,singer.io,c,c++,sql,html,java,mysql,python,teamwork,javascript,leadership,data structures,public speaking,team management]"
aabhas-mehrotra,"[associate technical operations,trainee decision scientist,intern,business manager,business]","[c (programming language),data science,r,c,c++,html,java,leadership,data analysis,microsoft office,microsoft powerpoint,python (programming language)]"
aabhasood,"[senior executive - partnership and alliances,key account manager,student,intern,intern,summer intern]","[event planning,event management,sports,equity trading,equity derivatives,customer relationship management (crm),financial analysis,public relations,analytical skills,accounting ,account management,client relations,problem solving,organization skills,creativity skills,interpersonal communication,presentation skills,r,working capital management,b2b marketing,research,leadership,management,microsoft excel,public speaking,microsoft office,business analysis,business development]"
aabid-majid-14ab8018b,"[associate software engineer,research intern,associate - projects]","[python (programming language),data structures and algorithms,tensorflow and keras (deep learning),machine learning,tensorflow,deep learning,data science,computer science,c (programming language),html,cascading style sheets (css),javascript,react.js,sql,mysql,algorithms,database management system (dbms),data structures,php,postgresql,yii,rabbitmq]"
aadarsh-shukla-49ba25157,"[operations manager,get- summer intern,graduate engineering trainee]","[microsoft excel,microsoft powerpoint,chemical engineering,leadership,teamwork,conflict resolution,interpersonal communication]"
aadesh-goyal-3b91b8180,"[back-end developer,software developer,software developer]","[node.js,mongodb,algorithms,express.js,angularjs,github,git,git bash,microservices,docker,kubernetes,devops,back-end web development,front-end development,full-stack development,software development,graphql,mongoose odm,web-based software development,stripe (software),payment gateways,react.js,nosql,jquery,linux,rest apis,c (programming language),django rest framework,django,html,javascript,data structures,python (programming language)]"
aadgan,"[product manager - digital wallets,product manager - credit cards,sales and marketing intern,system and software engineer,product manager]","[product management,sales & marketing,fast-moving consumer goods (fmcg),marketing strategy,digital marketing,after effects,english,kannada,hindi,problem solving,mobile applications,portfolio management,sales,teamwork,marketing,communication,market research,microsoft excel,team management,microsoft office,business strategy,microsoft powerpoint]"
aadhar-toshniwal-650a41166,"[vice president,software developer intern,research intern,software engineer intern,software engineer]","[machine learning,deep learning,problem solving,data analysis,leadership,management,django,python (programming language),sql,html,cascading style sheets (css),c++,tensorflow,convolutional neural networks (cnn),interpersonal communication,collaborative work,teamwork,time management]"
aadharsh-rengarajan-001116152,"[engineer,software engineer,software engineer]","[algorithms,software development,shell scripting,c (programming language),amazon web services (aws),php,postgresql,elasticsearch,node.js,react.js,jenkins,docker,git,linux,jira,cascading style sheets (css),spring,spring boot,databases,restful webservices,unix,bash,rest apis,software engineering practices,object-oriented programming (oop),c++,sql,html,java,mysql,javascript,data structures,python (programming language)]"
aadil-khokhar-416a21146,"[sr associates,key account manager,senior team lead,business development manager]","[resolve queries,new business development,corporate sales management,bdm,key account relationship building,account management]"
aadil-zikre-8014b3149,"[data analyst,junior business analyst]","[amazon quicksight,data science,inventory management,r,catia,solidworks,ansys,ptc creo,autocad,demand forecasting,amazon redshift,gnu octave,cae,demand supply planning,c++,sql,java,leadership,management,microsoft excel,microsoft office,python (programming language)]"
aadilbeg,[software development engineer 1],"[eclipse,object-oriented programming (oop),opencv,yolov3,labelimg,java swing,c (programming language),algorithms,c,c++,sql,java,mysql,data structures]"
aadilnawaz,"[senior associate, experience technology,consultant ux engineer | on deputation,frontend developer (ux engineering),frontend developer,digital marketing executive,sde iii (ux engineering)]","[css,web design,user experience,web development,agile methodologies,information architecture,interaction design,react.js,angularjs,sass,node.js,webpack,bootstrap,jquery ui,ionic framework,json,material design,github,jira,es6,photoshop,joomla,gruntjs,babel,modernizr,jquery,css3,zeplin,bitbucket,styled component,angular 2,next.js,tailwind css,advanced css,gulp.js,bower,yarn,npm,dom,apis,underscore.js,hybrid apps,oocss,bem,smacss,front-end development,cascading style sheets (css),html,javascript,microsoft office]"
aadish-jain-522651b5,"[product,research assistant,coordinator,research intern,research intern,senior manager,associate member,associate manager,junior executive member,associate product manager,intern,summer intern]","[event management,public relations,entrepreneurship,programming,nonprofits,start-ups,media relations,business planning,fundraising,stata,r,product management,c,c++,research,leadership,management,data analysis,microsoft word,microsoft excel,public speaking,customer service,microsoft office,business strategy]"
aadish-sogani,"[institute student mentor,marketing head,department academic mentor,summer intern | solid waste management,events coordinator,infrastructure and event coordinator,summer intern | educational outreach and management,associate consultant,summer intern | artificial intelligence planning]","[social entrepreneurship,artificial intelligence (ai),materials science,data analysis,digital marketing,event management,infrastructure,photography,metallurgy,thermodynamics,electronics,machine learning,deep learning,market analysis,marketing,adobe premiere pro,c++,microsoft office,autocad,matlab,solidworks,originlab,python (programming language),public speaking,management,leadership,teamwork,electrodynamics,quantum mechanics,data analytics,pddl]"
aadithiya-ajaykummar-9810b171,"[bcn senior associate,bcn associate,senior business analyst,analyst,project intern,senior data analyst,business analyst]","[sas programming,modeling,forecasting,powerpoint,english,hindi,malayalam,r,vba,analytical skills,sql,html,leadership,management,microsoft word,microsoft excel,public speaking,microsoft office,business analysis,microsoft powerpoint,python (programming language)]"
aaditi-saluja-8588021b5,"[sales marketing manager,erp-client account manager,marketing and business development associate,business analyst,business development manager]","[voice acting,logistics management,email,administration,customer relationship management (crm),account management,negotiation,business relationship management,cold calling,pricing strategy,research,marketing,management,communication,business development]"
aaditya-gaur-680bba179,"[assistant manager enterprise sales,general manager,assistant manager - training & cluster operations,business development manager]","[business development,hospitality]"
aaditya-patil116,"[manager - hr,assistant manager - hr,executive - hr,intern - hr]","[human resources information systems (hris),hr analytics,compensation benchmarking,strategic hr,microsoft power bi,hr reports,hr operations,microsoft excel]"
aaditya-saxena-b250a51a0,"[legal associate,assistant manager]","[legal advice,legal document preparation,legal compliance,legal consulting,legal opinions,legal contract review,due diligence,legal writing,legal research,legal assistance,legal issues,strategy,microsoft office,microsoft powerpoint,microsoft word,microsoft excel,computer repair,qualitative research,online research,regulatory compliance]"
aaditya-srinivasan-1086b7171,"[product management intern (singapore),product management intern,product marketing analyst (yc'19),athletics(duathlon) team captain,product management intern,product manager]","[lean thinking,user experience (ux),content strategy,information architecture,user experience design (ued),entrepreneurship,strategic thinking,strategy,customer experience,design thinking,performance metrics,product management,product strategy,relational databases,sqlite,critical thinking,sql,leadership,management,business strategy]"
